ACCOUNT,ROLE,WAREHOUSE,DATABASE
mcox,,.+,.+
BALBIR,,.+,.+
,WS_SJAVVAJI,.+,.+
PHDATA_CDOPS_REPORT,,.+,.+
,CDOPS_ADMIN,.+,.+
SYSTEM,,.+,.+
